HouseID	Address
176	143 Kerferd Rd
177	49 Page St
178	13/52 Moubray St
179	115 Page St
180	32 Page St
181	34 Richardson St
182	2b Dundas Pl
183	22 Greig St
184	27 Barrett St
185	3 Faussett St
186	44 Greig St
187	6 Brooke St
188	7 Herbert Pl
189	8 Kerferd Pl
190	5 Reed St
191	227a Danks St
192	17 Reed St
193	74 Bridport St
194	9 Durham St
195	30 Austin St
196	6 Smith St
197	5/6 Yarralea St
198	136A Fulham Rd
199	1/9 Roemer Cr
200	4 Tuckett St
201	2/21 Fulham Rd
202	44 Shiers St
203	83 Fulham Rd
204	29 Alphington St
205	3/19 Harker St
206	4/2 Miller St
207	2/5 Yarana Rd
208	4/5 Chandler Hwy
209	69 Lucerne Cr
210	815 Heidelberg Rd
211	44 Naroon Rd
212	11 Tower Av
213	1/17 Rex Av
214	3/98 Grange Rd
215	10 Bennett St
216	38 Bennett St
217	2c Hamilton St
218	5/5 Yarana Rd
219	7/7 Chandler Hwy
220	1/14 Fulham Rd
221	17 Lowther St
222	29 Naroon Rd
223	13a Fulham Rd
224	32/23 Coate Av
225	22 Lowther St
226	6/11 Broomfield Av
227	11 Margaret Gr
228	21 Como St
229	6 Naroon Rd
230	42 Shiers St
231	158 Queen St
232	59 Bracken Gr
233	1/123 Blyth St
234	4 Blyth St
235	20 Linnet St
236	29 Rose St
237	1/170 Blyth St
238	5/35 Grieve Pde
239	156 Maidstone St
240	11 Keeshan Ct
241	1/4 Deavey Ct
242	1/136 Queen St
243	173 Queen St
244	1/265 Queen St
245	3/26 Grieve Pde
246	261 Queen St
247	4/5 Rose St
248	1/60 David St
249	1A Merritt Ct
250	4/31 Millers Rd
251	111/112 Pier St
252	24 Wren St
253	54 Seves St
254	1/152 Blyth St
255	2/6 Galvin St
256	4/57 Blyth St
257	10 Wilga Av
258	164 Maidstone St
259	3/25 Rayner St
260	3/46 Sargood St
261	1/57 Blyth St
262	22 Fenfield St
263	5/8 David St
264	1/28 Seves St
265	27 McIntyre Dr
266	4 Boyd St
267	5a Emu Av
268	12 Spear Ct
269	185 Queen St
270	3/20 Mulga St
271	95 Blyth St
272	51 Millers Rd
273	2/119 Railway St N
274	12 Ransom Av
275	2/5 Rose St
276	24 McIntyre Dr
277	104 Maidstone St
278	49 Bent St
279	5/57 Blyth St
280	15 Kookaburra St
281	219 Civic Pde
282	3 Curtin Ct
283	2/60 David St
284	1 Beuron Rd
285	45 Hearn St
286	4 Knapp St
287	103 Sixth Av
288	80A Hansen St
289	21 Hatherley Gr
290	3/66 Marion St
291	153 Mills St
292	1/70 Misten Av
293	33 Carthy St
294	47 Ginifer Av
295	16 Harris St
296	1/5 Little St
297	58a Clematis Av
298	1/77 Hansen St
299	21 Joel Av
300	1/95 Mills St
301	2/5 Stapley Cr
302	5 Binns St
303	2/9 First Av
304	1/28 Irwin Av
305	3/49 Misten Av
306	29a The Broadway
307	25 Allan St
308	9 Fourth Av
309	11a Edward Av
310	45 Freemans Rd
311	21 Hatherley Gr
312	1B Paproth Gr
313	7 Seventh Av
314	1/256 Mason St
315	21 Allan St
316	56a First Av
317	63a First Av
318	59 Misten Av
319	85a First Av
320	22 Joel Av
321	11 Mahon Av
322	2/36 May St
323	11 Beevers St
324	2/10 Cleghorn Av
325	2 Edward Av
326	10 Murphy St
327	128 Second Av
328	5/24 Valerian Av
329	2/31 Cooper Av
330	9 Begonia Av
331	1/36 Amaranth Av
332	3/36 Amaranth Av
333	61 Cooper Av
334	10 Freemans St
335	16 Beevers St
336	4/63 Marion St
337	150A McIntosh Rd
338	21 Neal Ct
339	31 Duosa Rd
340	252 Millers Rd
341	1/156 Chambers Rd
342	19 Cleghorn Av
343	2 Gadsden St
344	24 Hansen St
345	4 Prismall St
346	1/21 Freemans Rd
347	122 McIntosh Rd
348	35 May St
349	29 Cyclamen Av
350	6 Hill St
351	84 May St
352	81 Fifth Av
353	23 Huxtable Av
354	155 Chambers Rd
355	61a First Av
356	268d Mason St
357	5 Cresser St
358	1/33 Fifth Av
359	1/8 Fourth Av
360	107 McIntosh Rd
361	10 Knapp St
362	4/221 Blackshaws Rd
363	56a MacDonald Av
364	126 Sixth Av
365	24 Hume St
366	8/19 Mercer Rd
367	1/42 Adelaide St
368	14/71 Denbigh Rd
369	4/769 High St
370	12 Huntingtower Rd
371	28 Lambeth Av
372	7 Llaneast St
373	9/55 Northcote Rd
374	1/7 Railway Av
375	65 Barkly Av
376	28 Cambridge St
377	6 Cambridge St
378	3/16 Fulton St
379	6 Fulton St
380	21 Lambeth Av
381	3/20 Mercer Rd
382	7/53 Wattletree Rd
383	1/77 Wattletree Rd
384	12 Willis St
385	12 Alleyne Av
386	3/10 Denbigh Rd
387	8/71 Denbigh Rd
388	11/17 Myamyn St
389	526 Orrong Rd
390	37 Barkly Av
391	553 Dandenong Rd
392	17 Egerton Rd
393	9/19 Mercer Rd
394	6/26 Mercer Rd
395	538a Orrong Rd
396	557 Orrong Rd
397	5/68 Rose St
398	11/38 Wattletree Rd
399	24 Lambeth Av
400	18/41 Kooyong Rd
401	10 William St
402	11 Adelaide St
403	15/405 Dandenong Rd
404	1/2 Armadale St
405	54 Denbigh Rd
406	4/20 Mercer Rd
407	47 Northcote Rd
408	8/58 Sutherland Rd
409	6A Munro St
410	40 New St
411	35 Northcote Rd
412	7/17 Myamyn St
413	595 Orrong Rd
414	3 Wattletree Rd
415	7/53 Wattletree Rd
416	2b Denbigh Rd
417	791 High St
418	22 Lambeth Av
419	25 Llaneast St
420	5 Alleyne Av
421	8/569 Orrong Rd
422	19 Sutherland Rd
423	17/579 Dandenong Rd
424	11/26 Gladstone Av
425	2/1 Munro St
426	1 Cambridge St
427	367 Dandenong Rd
428	10 Egerton Rd
429	34a Rose St
430	42 Rose St
431	12 Auburn Gr
432	31 Hume St
433	10/581 Orrong Rd
434	5/8 Sutherland Rd
435	5/92 Wattletree Rd
436	7/579 Dandenong Rd
437	1/13 Denbigh Rd
438	19 Glassford St
439	14 New St
440	9/38 Northcote Rd
441	7/501 Orrong Rd
442	6/51 Armadale St
443	30 Barkly Av
444	5/31 Inverness Av
445	12/41 Kooyong Rd
446	63 Denbigh Rd
447	1 Derby St
448	5/2 Mercer Rd
449	9/60 Wattletree Rd
450	13/56 Sutherland Rd
451	12 Baldwin St
452	48 Barkly Av
453	7/22 Derby St
454	10/51 Armadale St
455	2/377 Dandenong Rd
456	1/14 Denbigh Rd
457	15 Sutherland Rd
458	75 Sutherland Rd
459	61 Union St
460	30 Willis St
461	1/770 Malvern Rd
462	1/403 Dandenong Rd
463	7 Lambeth Av
464	3 Alleyne Av
465	10/507 Dandenong Rd
466	44 Denbigh Rd
467	44 Hampden Rd
468	3/769 High St
469	4 Mercer Rd
470	4/38 Northcote Rd
471	4/576 Orrong Rd
472	17 Kooyong Rd
473	896 Malvern Rd
474	1/31 Mercer Rd
475	8/507 Dandenong Rd
476	8 Derby St
477	1/6 Elm Gr
478	37 Lambeth Av
479	16 Llaneast St
480	2/532 Orrong Rd
481	5/555 Orrong Rd
482	3/50 Denbigh Rd
483	11 Egerton Rd
484	7/844 Malvern Rd
485	24 Ayr St
486	2/43 Roxburgh St
487	30 Rothwell St
488	9/5 Rothwell St
489	47 Union Rd
490	42 Archer Av
491	7 Francis St
492	2/21 Harold St
493	44 The Parade
494	97 Walter St
495	98 Epsom Rd
496	8 Geddes St
497	75 Maribyrnong Rd
498	119 Roseberry St
499	25 Station Av
500	10 Fenton St
501	10 McCully St
502	120 Epsom Rd
503	47 Hurtle St
504	63 Kent St
505	4 The Parade
506	4 West St
507	1/17 Epsom Rd
508	70 Bloomfield Rd
509	41 Monash St
510	2/78 Ormond Rd
511	83 Roseberry St
512	7a Station Av
513	51 Francis St
514	5/39 Sandown Rd
515	33 Dalgety Dr
516	12 Mirams St
517	2 The Parade
518	13 Wigton St
519	17 Aspect Av
520	78 The Parade
521	11 Ascot St
522	24/54 Epsom Rd
523	2 Farncomb St
524	13 Fisher Pde
525	6 Leonard Cr
526	26 Newsom St
527	8 Pentland St
528	8/129 The Parade
529	52 Monash St
530	32 Myross Av
531	58 Fenton St
532	70 Munro St
533	1 Nairn Av
534	125 Epsom Rd
535	33 Hockey La
536	55 Hunt Cr
537	3/28 Ormond Rd
538	7 Angler Pde
539	26 Ayr St
540	2/127 Epsom Rd
541	57 The Parade
542	62 Mirams St
543	4 Morphett Av
544	67 Hurtle St
545	95 Walter St
546	15 Bayview Tce
547	57 Monash St
548	54 South St
549	3/8 Walter St
550	2/225 Maribyrnong Rd
551	12/9 Milton St
552	107/8 Burrowes St
553	21A Geddes St
554	1/20 Newsom St
555	14 Ormond Rd
556	4/27 Roseberry St
557	126 The Parade
558	43 Bloomfield Rd
559	6/17 Geddes St
560	1/60 The Parade
561	96 The Parade
562	3 Aspect Av
563	45 Bloomfield Rd
564	72 Kent St
565	21 Middle St
566	78 Francis St
567	25 Geddes St
568	106/246 Union Rd
569	57 Bloomfield Rd
570	18/54 Epsom Rd
571	15 Mirams St
572	6/37 Myrnong Cr
573	44 Walter St
574	25 Dalgety Dr
575	7 Dalgety Dr
576	37 Epsom Rd
577	6 Waller Ct
578	17 Ascot St
579	19 Dunlop Av
580	73 Kent St
581	9/129 The Parade
582	20 Charles St
583	1 East St
584	32 Geddes St
585	30 Mirams St
586	43 Mirams St
587	45 Mirams St
588	1 Bloomfield Rd
589	26 Milton St
590	10 Ayr St
591	58 Bloomfield Rd
592	1/91 Epsom Rd
593	1 Myross Av
594	4/33 Sandown Rd
595	5 Doncaster St
596	6 McCully St
597	75 Munro St
598	61 Dent St
599	1 Wilgra Av
600	69 Albion Rd
601	1/17 Ashburn Gr
602	3/39 Solway St
603	7A Wirraway Ct
604	101/218 High St
605	51 Victory Bvd
606	50 Warner Av
607	2 Benghazi Av
608	3 Dunlop St
609	36 Morotai Av
610	15 Lancaster St
611	60 Munro Av
612	1/4 Taylor St
613	1/6 Crete Av
614	69a Munro Av
615	16a Nicholas St
616	5 Nicholas St
617	115 Ashburn Gr
618	33 Eleanor St
619	3a Mernda Av
620	1/1 Nairn St
621	9 Gona Ct
622	60 Nicholas St
623	76 Nicholas St
624	45 Yuile St
625	1/24 Crete Av
626	18 Alamein Av
627	3 Lae Ct
628	8 Ryland St
629	47 Yuile St
630	36 Alamein Av
631	6a Glen Rd
632	2 Maxwell St
633	18 Glen Rd
634	11a Ambon St
635	24 Fakenham Rd
636	95 Nicholas St
637	34 Munro Av
638	2a Lancaster St
639	1/1 Ramu Gr
640	8 Glen Rd
641	11 Munro Av
642	46 Nicholas St
643	29A Yuile St
644	50a Baker Pde
645	20 Gloucester Rd
646	3/75 Victory Bvd
647	2/17 Ashburn Gr
648	34 Morotai Av
649	4 Baker Pde
650	26 Tarakan Av
651	15 Comas Gr
652	14 Gloucester Rd
653	56 Gloucester Rd
654	19 Lancaster St
655	3 Mustang Ct
656	460 Warrigal Rd
657	3/4 Annetta Av
658	20 Alamein Av
659	55 Alamein Av
660	63 Dent St
661	16 Dunscombe Av
662	30 Glen Rd
663	23 Johnston St
664	4 Vears Rd
665	2/43 Warner Av
666	14 Lucerne St
667	5 Pitt St
668	1/65 Ashburn Gr
669	12 Meaden St
670	48 Nicholas St
671	5 Taylor St
672	1/7 Y St
673	54 Baker Pde
674	33 Highgate Gr
675	9 Pitt St
676	9 Ward St
677	159 Ashburn Gr
678	19 Poulter St
679	15 Lancaster St
680	1/14 Eildon Rd
681	18 Teck St
682	12 Beechwood Tce
683	28 Raymond St
684	4 Mitchell Av
685	31a Douglas St
686	1/53 Winbirra Pde
687	18 Montrose St
688	11 Scenic Dr
689	4 Scenic Dr
690	8 Rocklands Rd
691	1/7 Farmer St
692	1/136 High Street Rd
693	10 Maroondah Rd
694	4 Peppermint Ct
695	35 Douglas St
696	95 Huntingdale Rd
697	2/25 May Park Av
698	9 Reid St
699	50 Cassinia Av
700	12 Delta Av
701	10 Parkhill Dr
702	8 Maroondah Rd
703	1/7 Murra Ct
704	58 Ashwood Dr
705	9 Barrington Dr
706	3 Harold St
707	2/21 Electra Av
708	3/26 May Park Av
709	9 Katta Ct
710	44 Power Av
711	16 Scenic Dr
712	13 Edmonds Av
713	7 Jingella Av
714	4 Nolan Ct
715	4/36 Queens Pde
716	2/11 Salisbury Rd
717	1/148 High Street Rd
718	4/24 Mulgrave St
719	15b Rocklands Rd
720	79 Ashwood Dr
721	16 Carlyle St
722	147 Huntingdale Rd
723	17 Parkhill Dr
724	22 Vannam Dr
725	2/6 Murra Ct
726	31a Shaw St
727	27 Yertchuk Av
728	1/27 Electra Av
729	2/21 Lavidge Rd
730	12 Leonard St
731	4 Teck St
732	14 Ashwood Dr
733	11 Cassinia Av
734	1/2 Condah Ct
735	44 Power Av
736	6a Sylvan Cr
737	2/21 Lavidge Rd
738	2/2 Heather Av
739	1/72 Power Av
740	1/16 Raymond St
741	17 Vannam Dr
742	13 Ashwood Dr
743	6 Clearview Cl
744	4 Newbury Ct
745	30 Ashwood Dr
746	2/53 Salisbury Rd
747	577 Warrigal Rd
748	13 MacEy Av
749	8 Norma Ct
750	9 Rogerson St
751	157 Canning St
752	7 Peerless Ct
753	105 Canning St
754	36 Wood St
755	2 Arbor Tce
756	3 Karen Ct
757	6 Lovett Dr
758	12 Skewes St
759	16 Arcade Wy
760	19 Rogerson St
761	68 Thompson St
762	119 Canning St
763	14 Lovett Dr
764	9 Arcade Wy
765	31 Duke St
766	97 Military Rd
767	21 River Dr
768	43 Riverside Av
769	35 Templewood Cr
770	3 Clive Ct
771	10 Hanley St
772	40 Templewood Cr
773	22 Warrick Ct
774	15 Dumas Av
775	2/6 Nelson Ct
776	5 Glencara St
777	129 Templewood Cr
778	103 Military Rd
779	7 Monmouth St
780	15 River Dr
781	16a Arbor Tce
782	40a Herbert St
783	185 Military Rd
784	33 Wood St
785	14 Herbert St
786	2/10 Military Rd
787	9 Willow Dr
788	25 MacEy Av
789	8 Westminster Dr
790	8 Herbert St
791	2 Hillman Ct
792	18 Langham St
793	20 Westminster Dr
794	23 River Dr
795	17 Lacy St
796	8 Moffat St
797	1 Templewood Cr
798	1/24 Bordeaux St
799	7 Landau Pl
800	72 Military Rd
801	1/5 South Tce
802	1/4 Weyburn Pl
803	19 Clarendon St
804	2 Drake Ct
805	27 Lake St
806	11 South Tce
807	61 Doyle St
808	109 North Rd
809	17 Cresswold Av
810	1/1 Amis Cr
811	7 Arvern Av
812	17 Cannes Av
813	2/4 Carmyle Ct
814	10 Intervale Dr
815	328 Milleara Rd
816	10 Skewes St
817	62 Skewes St
818	49 Rogerson St
819	43 Skewes St
820	63 Doyle St
821	14 Laura Gr
822	235 Military Rd
823	57 North Rd
824	18 Linton St
825	7/72 Grosvenor St
826	51 Sycamore Gr
827	3/88 Grosvenor St
828	1/34 Gourlay St
829	58 William St
830	7/38 Brighton Rd
831	5/60 Gourlay St
832	4/9 Gourlay St
833	1/22 Sycamore Gr
834	6/23 Gourlay St
835	8 The Avenue
836	6 Blenheim St
837	3/20 Orange Gr
838	2/360 Carlisle St
839	2/19 Camden St
840	1/17 Albion St
841	10 Grosvenor St
842	57 Rosamond St
843	3/33 Gourlay St
844	41 Marlborough St
845	15/36 Brighton Rd
846	5/11 Albion St
847	1/4 Glenluss St
848	166 Gordon St
849	36 Narrak Rd
850	2/16 Westminster St
851	2/74 Balwyn Rd
852	19 Belgrove Av
853	26 Belgrove Av
854	112 Belmore Rd
855	27 Bevan St
856	129 Gordon St
857	4 Melba Ct
858	5/14 Parring Rd
859	349 Union Rd
860	3/10 Westminster St
861	22 Yongala St
862	120/188 Whitehorse Rd
863	12/37 Banool Rd
864	32 Bevan St
865	3/30 Cremorne St
866	27 Parkdale Av
867	137 Yarrbat Av
868	9/5 Boston Rd
869	17 Gordon St
870	40 Metung St
871	2a Pryton Ct
872	4/42 Talbot Av
873	4/30 Weir St
874	1/37 Yongala St
875	142 Balwyn Rd
876	59 Narrak Rd
877	23 Norbert St
878	9/11 Parring Rd
879	24 Bennett St
880	7 Creswick St
881	12 Kaleno Vw
882	4/3 King St
883	27 Nungerner St
884	3/18 Weir St
885	3 Westminster St
886	89 Yarrbat Av
887	2 Henry St
888	2/42 Talbot Av
889	13 Naroo St
890	4/339 Union Rd
891	101/201 Whitehorse Rd
892	14 Conway Cr
893	68 Elliott Av
894	2/23 Northcote Av
895	6 Tonkin Av
896	1/252 Union Rd
897	9/204 Whitehorse Rd
898	8 Yongala St
899	11 Belgrove Av
900	1/18 Belmore Rd
901	316 Belmore Rd
902	11/22 Brenbeal St
903	7/1 Conway Cr
904	18 Fitzgerald St
905	3/3 Iramoo St
906	9/7 Kireep Rd
907	18 Metung St
908	25 Percy St
909	2/111 Strabane Av
910	11 Monash Av
911	2/8 Evelina St
912	23 Hertford Cr
913	7/7 Kireep Rd
914	5 Millah Rd
915	53 Monash Av
916	3/4 Pretoria St
917	6/10 Brenbeal St
918	4/4 Raynes St
919	31 Yongala St
920	3/5 Dunure Ct
921	18 Kaleno Vw
922	3 Reid St
923	1b Threadneedle St
924	1 Weston St
925	38 Frederick St
926	18 Linckens Cr
927	7 May St
928	8/483 Whitehorse Rd
929	49 Yongala St
930	7 Power St
931	6/29 Weir St
932	150 Balwyn Rd
933	3/94 Balwyn Rd
934	1/7 Boston Rd
935	19 Norbert St
936	1/32 Yerrin St
937	53 Metung St
938	28 Salisbury St
939	35a Stroud St
940	87 Yerrin St
941	5/95 Balwyn Rd
942	16 Grey St
943	20 Henley St
944	33 Kireep Rd
945	35 Kireep Rd
946	2 Birtles Ct
947	20 Elliott Av
948	49 Metung St
949	2a Monash Av
950	8 Nungerner St
951	8 Pryton Ct
952	110 Strabane Av
953	1/48 Talbot Av
954	156 Whitehorse Rd
955	29 Bevan St
956	2/30 Kalimna St
957	10/36 Jurang St
958	1 Knutsford St
959	34 Monash Av
960	70 Monash Av
961	19 Reid St
962	262 Union Rd
963	25 Kalimna St
964	4/12 Kireep Rd
965	7 Naroo St
966	6/11 Yarrbat Av
967	60a Talbot Av
968	61 Balwyn Rd
969	27 Metung St
970	4/35 Weir St
971	9 Bruce St
972	6 Clapham St
973	109 Gordon St
974	14 Kinsale Cr
975	34 Nott St
976	275 Union Rd
977	3/14 Weir St
978	1 Prowse Av
979	29 Metung St
980	27 Reid St
981	28 Sevenoaks St
982	26 Wills St
983	165 Balwyn Rd
984	1/5 Cherry Rd
985	160 Gordon St
986	17 Knutsford St
987	1/10 Mangan St
988	47 Naroo St
989	9 Norbert St
990	8 Raynes St
991	1/13 Relowe Cr
992	38 Relowe Cr
993	15A Westminster St
994	6 Abercrombie St
995	1/74 Balwyn Rd
996	112 Belmore Rd
997	3/32 Deepdene Rd
998	2 Pembroke Rd
999	12 Wills St
1000	23 Wills St
1001	51 Yarrbat Av
1002	3/12 Brenbeal St
1003	51 Elliott Av
1004	11 Pryton Ct
1005	29 Sevenoaks St
1006	321a Union Rd
1007	46 Yongala St
1008	34 Jurang St
1009	33 Power St
1010	5 Shrimpton Ct
1011	3/41 Clifton St
1012	153 Doncaster Rd
1013	19 Jacka St
1014	32 Jaserfold St
1015	2/5 Marwal Av
1016	32 Maylands Av
1017	30 Abbott St
1018	25 Bolinda Rd
1019	3 Dumblane St
1020	30 Hood St
1021	36 Kenny St
1022	2 Maughan Pde
1023	24 McShane St
1024	45 Riverside Av
1025	13 Riverview Rd
1026	43 Sweyn St
1027	10 Carrington St
1028	49 Fortuna Av
1029	3 Highbury St
1030	14 Kawarren St
1031	88 Longview Rd
1032	113 Maud St
1033	6 Stuart Ct
1034	61 Sutton St
1035	62 Maud St
1036	38 Nevada St
1037	2 Osburn Av
1038	5 Arama St
1039	325 Belmore Rd
1040	1 Buchanan Av
1041	45 Cityview Rd
1042	15 Ellendale St
1043	101 Hill Rd
1044	10 Sylvander St
1045	85 Tannock St
1046	6 Abassia St
1047	293 Belmore Rd
1048	1/9 Citron Av
1049	30 Clifton St
1050	8 Kalonga Rd
1051	2/1 Leicester St
1052	10 Seattle St
1053	3/54 Severn St
1054	14 Buchanan Av
1055	108 Bulleen Rd
1056	5 Carrington St
1057	37 Gardenia Rd
1058	40 Winfield Rd
1059	7 Clifton St
1060	3 Clive Ct
1061	2/34 Doncaster Rd
1062	7 Page St
1063	1/39 Trentwood Av
1064	58 Aquila St
1065	14 Cascade St
1066	8 Cash St
1067	6 Cumberland Av
1068	7 Grieve St
1069	39 Kawarren St
1070	185 Doncaster Rd
1071	41 Helston St
1072	17 Maylands Av
1073	15 Moody St
1074	53 Sweyn St
1075	2/11 Winfield Rd
1076	2/31 Sutton St
1077	13 Lucifer St
1078	141 Greythorn Rd
1079	23a The Boulevard
1080	16b Alpha St
1081	62 Clifton St
1082	47 Ellsa St
1083	5 Lemon Rd
1084	21 Maud St
1085	53 Trentwood Av
1086	1 Bolinda Rd
1087	35 Corhampton Rd
1088	151 Bulleen Rd
1089	56a Clifton St
1090	12 Hood St
1091	2 Tudor Ct
1092	28 Walnut Rd
1093	14 Bernard St
1094	14 Dumblane St
1095	13 Glenthorn Av
1096	64 Greythorn Rd
1097	42 Maud St
1098	19 Nicholson St
1099	11 Stephens St
1100	54 Sutton St
1101	1 Ventnor St
1102	3 Alpha St
1103	237a Balwyn Rd
1104	1/17 Corhampton Rd
1105	48 Hosken St
1106	8 Kawarren St
1107	17 Stephens St
1108	7 Sunburst Av
1109	20 Ajax St
1110	24 Cumberland Av
1111	15 Illawarra Rd
1112	5 Andrew Ct
1113	45 Dempster Av
1114	45 Woodville St
1115	12 Clifton St
1116	8 Colby St
1117	6 Leicester St
1118	23 Maud St
1119	2/5 Maud St
1120	21 Riverside Av
1121	9 Seattle St
1122	16 Sylvan St
1123	14 Aylmer St
1124	49 Aylmer St
1125	5 Echo Av
1126	14 Hedderwick St
1127	168 Maud St
1128	9 Stephens St
1129	9 Sunburst Av
1130	31 Tuxen St
1131	31 Viewhill Rd
1132	5 Grieve St
1133	48 Hosken St
1134	15 Leicester St
1135	2/22 Severn St
1136	28 Severn St
1137	3 Capella St
1138	3/1 Corhampton Rd
1139	18 Highview Rd
1140	1 Morris St
1141	17 Riverview Rd
1142	85a Woodville St
1143	211 Belmore Rd
1144	13 Bernard St
1145	4a Corhampton Rd
1146	6 Hedderwick St
1147	41 Helston St
1148	38 Panoramic Rd
1149	65 Sylvander St
1150	25 Bernard St
1151	10 Citron Av
1152	11 Highview Rd
1153	24 Maud St
1154	3/52 Maud St
1155	1 Renown St
1156	23 Alpha St
1157	3/48 Alpha St
1158	4 Ajax St
1159	31 Almond St
1160	66 Almond St
1161	2/42 Gardenia Rd
1162	19 Hedderwick St
1163	34 Kawarren St
1164	2B Lemon Rd
1165	31 MacEdon Av
1166	430 Balwyn Rd
1167	74 Cityview Rd
1168	43 Helston St
1169	27 Landen Av
1170	36 Larbert Av
1171	1/9 Lime Av
1172	16 Nevada St
1173	8a Sylvan St
1174	27 Viewhill Rd
1175	1/32 Viewhill Rd
1176	35 Walnut Rd
1177	21 Winfield Rd
1178	10 Wynyard Cr
1179	9 Arama St
1180	3/191 Balwyn Rd
1181	233 Balwyn Rd
1182	2 Carron St
1183	2/2 Hatfield St
1184	5/133 Maud St
1185	11 Milfay Ct
1186	23A The Boulevard
1187	123 Winfield Rd
1188	30 Abbott St
1189	69 Aylmer St
1190	10a Bolinda Rd
1191	15 Ellendale St
1192	38 Ferdinand Av
1193	38 Ferninand Av
1194	22 Highbury St
1195	15 Maughan Pde
1196	5 Pam Av
1197	61 Ray Dr
1198	10 Dumblane St
1199	9 Gildan St
1200	10 Hood St
1201	3/8 Severn St
1202	40 Stephens St
1203	24 Willis St
1204	8 Harrington Av
1205	2/3 Hatfield St
1206	40 Panoramic Rd
1207	34 Sunburst Av
1208	1 Tovey St
1209	12 Ursa St
1210	5/205 Centre Rd
1211	22 Hobart St
1212	1/236 Patterson Rd
1213	7a Porter Rd
1214	2/531 South Rd
